Domain,Use case name,Summary,Primary outcome,Claimed impact numbers (exact),Metric type,Time-to-value,Complexity,Dependencies,Example vendors/tools mentioned,Risks & compliance notes,Evidence,Rank (if stated),"Impact score (1-5, derived)","Confidence (1-5, derived)"
Admissions / Intake / Eligibility / Bed Mgmt,Referral intake + doc capture + routing,"Trigger: inbound fax/email/portal → classify docs (face sheet, H&P;, discharge summary) → create/attach resident pre-admit record → route to admissions nurse, therapy, business office. (approach: OCR+classification [S25][S26][S28] + workflow engine [S29][S31] + integration; RPA for portals.). Expected outcomes: Fewer rekeys; faster acceptance/declines; fewer missing docs that later drive claim errors [S7][S9].",Operational efficiency,Not stated in report,quality,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Document ingestion/OCR; Workflow engine & workqueues,Not stated in report,Misclassification; duplicate residents; exception volume spikes.,p4 — Admissions / Intake / Eligibility / Bed Mgmt table,,3,3
Admissions / Intake / Eligibility / Bed Mgmt,Real-time eligibility & benefits verification (EDI 270/271) + insurance card OCR,Trigger: referral / change-of-coverage → run 270/271 → parse response → update payor fields; capture card images; alert for auth requirements. (approach: Integration (EDI) + rules; OCR for cards; RPA if payer portal only.). Expected outcomes: Fewer coverage surprises; faster auth initiation; reduced downstream denials due to coverage miskeys.,Denials / appeals / cash,Not stated in report,cost/revenue,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Document ingestion/OCR; Rules/policy logic; Change management,Not stated in report,Payer variability; response parsing errors; staff overriding.,p4 — Admissions / Intake / Eligibility / Bed Mgmt table,,3,2
Admissions / Intake / Eligibility / Bed Mgmt,Prior auth request assembly + status tracking,Trigger: service requiring auth → assemble required packet → submit (portal/EDI 278/API) → poll status → escalate if stalled. (approach: Workflow + integrations; RPA; rules engine for payer-specific checklists.). Expected outcomes: Shorter admission delays; fewer missed auths; clearer audit trail (who submitted what when).,Operational efficiency,Not stated in report,quality,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues; Rules/policy logic,Not stated in report,Payer portal changes; incomplete packet; timeliness SLAs.,p4 — Admissions / Intake / Eligibility / Bed Mgmt table,,3,2
Admissions / Intake / Eligibility / Bed Mgmt,Bed board + census reconciliation,Trigger: admit/discharge/ transfer/bed-hold → update all systems; nightly reconcile census and payor fields; exception queue. (approach: Integration + MDM; rules for facility-specific bed types; process mining to find mismatch sources [S33].). Expected outcomes: Fewer billing errors; improved bed utilization; faster daily census close.,Bed utilization / census accuracy,Not stated in report,quality,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues; Rules/policy logic; Master data/identity matching; Analytics/process mining,Not stated in report,Identity matching; late documentation; unintegrated point solutions.,p4 — Admissions / Intake / Eligibility / Bed Mgmt table,,3,3
Admissions / Intake / Eligibility / Bed Mgmt,Release of Information (ROI) + consent tracking at intake,Trigger: admission → generate facility-specific packet → e-sign capture → store versioned docs → alerts for missing/expired consents. (approach: Document automation + e-sign + workflow; rules for version control.). Expected outcomes: Reduced missing consents; faster chart completion; audit-ready packet set.,Documentation completeness,Not stated in report,quality/compliance,Not stated in report,Med (derived from listed approach),Document ingestion/OCR; Workflow engine & workqueues; Rules/policy logic,Not stated in report,Signature capture failures; state-specific consent nuance (manage as config).,p4 — Admissions / Intake / Eligibility / Bed Mgmt table,,3,2
Clinical Documentation / Chart Completion,Chart completion worklist + escalation,Trigger: note created/late → rules for due dates/signatures → send reminders → escalate → lock billing until complete. (approach: Rules engine (Drools) [S34] + workflow; integration to EHR tasks; analytics.). Expected outcomes: Reduced late notes; fewer ADR deficiencies (insufficient documentation) [S9].,Audit response / ADR-CERT,Not stated in report,quality/compliance,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues; Rules/policy logic; Analytics/process mining,Drools,Alert fatigue; wrong ownership; ‘workarounds’ outside system.,p5 — Clinical Documentation / Chart Completion table,,3,3
Clinical Documentation / Chart Completion,Automated MDS sup porting-document checklist (PDPM-driving items),"Trigger: MDS/Medicare A start/IPA → build evidence checklist (therapy eval, physician order, dx support) → tasks to collect. (approach: Workflow + rules + doc indexing; RPA for pulling from hospital portals when allowed.). Expected outcomes: Cleaner PDPM classification; fewer post-payment audits; faster case-mix coding.",Documentation completeness,Not stated in report,quality/compliance,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues; Rules/policy logic; Audit logs & evidence retention,Not stated in report,Rule drift with RAI updates [S5]; poor source documentation.,p5 — Clinical Documentation / Chart Completion table,,3,2
Clinical Documentation / Chart Completion,Medication reconciliation support (not AI-first),Trigger: inbound discharge summary/med list → OCR extract → map to formulary → pharmacist review queue → commit. (approach: OCR+structured extraction; integration to pharmacy; human-in-loop.). Expected outcomes: Less transcription; fewer med errors; faster first-dose administration.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Document ingestion/OCR; Workflow engine & workqueues; Human-in-the-loop approvals,Not stated in report,Extraction errors; medication name ambiguity; needs pharmacist verification.,p5 — Other/Uncategorized table,,3,2
Clinical Documentation / Chart Completion,Therapy documentation packet automation,Trigger: therapy eval → prefill resident data/goals from assessment → push to billing codes; auto-generate required reports. (approach: Integration + templating + workflow; limited AI for summarization only.). Expected outcomes: Less duplicate entry; faster billing support; fewer compliance gaps.,Documentation completeness,Not stated in report,quality/compliance,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues,Not stated in report,Template rigidity; clinician acceptance.,p5 — Other/Uncategorized table,,3,2
Orders / Referrals / Auths / Care Coordination,Voice dictation / STT for nurses/therapy with guardrails,Trigger: dictated note → STT → highlight low-confidence terms → nurse attests → store audio+text per policy; audit log. (approach: Open-source Whisper [S10] or commercial STT; must include verification due to hallucination risk reports [S16].). Expected outcomes: Potential time savings; but only if paired with verification and retention; measurable improvements reported in ambient scribe studies (non-SNF) [S14].,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed approach),Audit logs & evidence retention,Whisper,Hallucinations/false insertions [S16]; PHI leakage; deletion of audio removes auditability.,p5 — Other/Uncategorized table,,2,3
